,code,name,pageRank,embedding,tsne,community,pca_x,pca_y,tsne_x,tsne_y,時価総額,セクター_en,従業員数,PBR,総収入,純利益,年,名前,セクター,address,lon,lat,start_value,end_value,return_ratio,log_price_rate,marker,color_default
0,1301,(株)極洋,1.1062467444455253,"[-1.598009467124939, -2.5087027549743652, 1.1263680458068848, -2.218468189239502, -0.9243544936180115, 2.3548812866210938, 0.5310167670249939, 2.679847478866577, 0.5382704734802246, -0.3709566593170166]","[1.5666762590408325, 76.97500610351562]",501,-0.1474498458619648,-0.3771532016451685,1.5666762590408325,76.97500610351562,34369601536.0,Consumer Defensive,2307.0,0.8963485000000001,262519000000.0,2037000000.0,2020.0,極洋,食品,〒107-0052 東京都港区赤坂３−３−５,35.671513,139.741379,2802.0,2951.0,0.053176302640970737,0.0518106480459872,-,blue
1,1332,日本水産,1.6785992340999654,"[-1.7720571756362915, -2.5283396244049072, 1.075250506401062, -2.549116373062134, -0.9177941083908081, 2.9296863079071045, 0.339586079120636, 2.782310724258423, 0.4025038778781891, -0.44279223680496216]","[1.2112607955932617, 77.07299041748047]",501,-0.10589359423494739,-0.3727267481590357,1.2112607955932617,77.07299041748047,173927809024.0,Consumer Defensive,9247.0,1.0553542,690016000000.0,14768000000.0,2020.0,日本水産,食品,〒105-8676 東京都港区西新橋１−３−１,35.665020509106995,139.76079835459998,640.69,426.0,-0.3350918540948041,-0.4081063743249726,-,blue
2,1333,マルハニチロ,1.5599997148849074,"[-1.8837294578552246, -2.4967308044433594, 1.0299761295318604, -2.382133960723877, -0.645773708820343, 2.867302656173706, 0.409358948469162, 2.7834787368774414, 0.528769850730896, -0.38318467140197754]","[1.198876976966858, 77.15511322021484]",501,-0.1067607044079723,-0.35914097942094203,1.198876976966858,77.15511322021484,142770536448.0,Consumer Defensive,11107.0,1.0070456,905204000000.0,12537000000.0,2020.0,マルハニチロ,食品,〒135-8608 東京都江東区豊洲３−２−２０ 豊洲フロント,35.653641,139.798843,2748.38,2220.0,-0.1922514353910304,-0.2135044513029776,-,blue
3,1352,(株)ホウスイ,0.7482288131723178,"[0.8626129627227783, 1.3486578464508057, 2.3917837142944336, -0.8400402069091797, -2.193115472793579, 1.9522705078125, -0.5791921615600586, 0.12163335084915161, 3.0505144596099854, 1.7049843072891235]","[4.978490829467773, 57.640628814697266]",2716,0.056166928778515056,-0.049512293771228656,4.978490829467773,57.640628814697266,8348877824.0,Consumer Defensive,404.0,1.2304388000000002,80492000000.0,454000000.0,2020.0,ホウスイ,食品,〒135-0061 東京都江東区豊洲６−６−３,35.638515324162995,139.78547590927,843.08,988.0,0.17189353323528012,0.1586208450790215,-,blue
4,1376,カネコ種苗,0.6922178701584925,"[0.9979255795478821, -1.2811614274978638, 2.208420991897583, -0.5932944416999817, 0.11296452581882477, 0.7392124533653259, 0.6542067527770996, 1.520263671875, 0.14338183403015137, -1.6766356229782104]","[50.0089111328125, -1.5920875072479248]",10,0.25188982947412863,-0.20921567660226026,50.0089111328125,-1.5920875072479248,19099353088.0,Basic Materials,667.0,0.91963506,58179000000.0,1122000000.0,2020.0,カネコ種苗,バイオテクノロジー,〒371-8503 前橋市古市町１−５０−１２,36.373337,139.049957,1436.14,1575.0,0.09668973776929818,0.09229631336748932,-,blue
5,1377,(株)サカタのタネ,0.642542550773942,"[1.2401361465454102, -1.5229326486587524, 2.2533345222473145, -0.4799458682537079, 0.10927961021661758, 0.34981444478034973, 0.39600977301597595, 1.5718356370925903, 0.48688629269599915, -1.6546543836593628]","[50.20621871948242, -1.6084877252578735]",10,0.20394948704389224,-0.11355084279776173,50.20621871948242,-1.6084877252578735,180398096384.0,Consumer Defensive,2477.0,1.7160664,61667000000.0,6094000000.0,2020.0,サカタのタネ,バイオテクノロジー,〒224-0041 横浜市都筑区仲町台２−７−１,35.531734,139.59583999999998,3631.18,3575.0,-0.015471554701226553,-0.015592488177873672,-,blue
6,1379,ホクト,0.15000000000000002,"[-1.0173088312149048, -0.7115190029144287, 0.5787689089775085, -0.905830442905426, -0.2588198184967041, 0.09546326100826263, -0.6352177858352661, 1.0553122758865356, 0.4330044984817505, 0.552375078201294]","[-25.66225814819336, -6.173403739929199]",519,-0.49899980359856216,-0.20951684415383026,-25.66225814819336,-6.173403739929199,67840274432.0,Consumer Defensive,4181.0,1.3024975,71220000000.0,1531000000.0,2020.0,ホクト,食品,〒381-8533 長野市南堀１３８−１,36.661598,138.244949,1919.17,2087.0,0.08744926192051768,0.08383482718701966,-,blue
7,1380,(株)秋川牧園,0.26860465338055417,"[-0.4841561019420624, -0.2623438537120819, 1.1724801063537598, -1.0346235036849976, 0.004888842348009348, 0.5402638912200928, -1.0821415185928345, -0.27847975492477417, 0.40761318802833557, 0.2472185492515564]","[-14.849064826965332, -30.857439041137695]",275,0.16022802428959448,-0.19562033530286416,-14.849064826965332,-30.857439041137695,5103002624.0,Consumer Defensive,276.0,2.6745330000000003,5790000000.0,71000000.0,2020.0,秋川牧園,食品,〒753-0303 山口市仁保下郷１０３１７,34.182925743519,131.53770141732,810.76,1175.0,0.4492574868025063,0.3710513472084957,-,blue
8,1381,(株)アクシーズ,0.26860465338055417,"[0.26875606179237366, -0.3121810555458069, 0.5056359767913818, -1.2370573282241821, -0.3918297290802002, 0.9017556309700012, -1.2399239540100098, -0.31396278738975525, 0.766266942024231, -0.5017871260643005]","[2.3737576007843018, -52.64043045043945]",275,0.3624220880864939,0.12042119978917032,2.3737576007843018,-52.64043045043945,18785017856.0,Consumer Defensive,1313.0,1.1677871000000002,19770000000.0,1973000000.0,2020.0,アクシーズ,食品,〒890-0014 鹿児島市草牟田２−１−８,31.599459000000003,130.540329,2299.35,3450.0,0.5004240328788572,0.4057477567451794,-,blue
9,1382,(株)ホーブ,0.602478123471519,"[1.3655569553375244, -1.4068567752838135, 1.8078142404556274, -0.9400039315223694, 0.0030246241949498653, 0.24950195848941803, 0.11064884811639786, 1.2402557134628296, 0.48013219237327576, -1.5151662826538086]","[50.89750671386719, -1.6923669576644897]",3712,0.24131334038178928,-0.09304396156987303,50.89750671386719,-1.6923669576644897,695511552.0,Consumer Defensive,44.0,1.4340441000000002,3230000000.0,28000000.0,2020.0,ホーブ,食品,〒071-1544 北海道上川郡東神楽町１４北１,43.694641,142.464691,1678.0,945.0,-0.4368295589988081,-0.5741729595334086,-,blue
