,code,時価総額,セクター_en,従業員数,PBR,総収入,純利益,年,名前,セクター,address,lon,lat,display_name,log_price_rate
0,1301,29933772800.0,Consumer Defensive,2307.0,0.85577977,262519000000.0,2037000000.0,2020.0,極洋,食品,〒107-0052 東京都港区赤坂３−３−５,35.671513,139.741379,1301 極洋,0.0518106480459872
1,1332,127256666112.0,Consumer Defensive,9247.0,0.8017187,690016000000.0,14768000000.0,2020.0,日本水産,食品,〒105-8676 東京都港区西新橋１−３−１,35.665020509106995,139.76079835459998,1332 日本水産,-0.40810637432497276
2,1333,112090398720.0,Consumer Defensive,11107.0,0.817978,905204000000.0,12537000000.0,2020.0,マルハニチロ,食品,〒135-8608 東京都江東区豊洲３−２−２０ 豊洲フロント,35.653641,139.798843,1333 マルハニチロ,-0.2135044513029776
3,1352,8281886208.0,Consumer Defensive,404.0,1.2711493999999999,80492000000.0,454000000.0,2020.0,ホウスイ,食品,〒135-0061 東京都江東区豊洲６−６−３,35.638515324162995,139.78547590927,1352 ホウスイ,0.1586208450790213
4,1375,72527003648.0,Consumer Defensive,,10.541741,,,,雪国まいたけ,食品,〒949-6695 新潟県南魚沼市余川８９,37.07523935962614,138.87811475733926,1375 雪国まいたけ,0.0
5,1376,17948930048.0,Basic Materials,667.0,0.8666027000000001,58179000000.0,1122000000.0,2020.0,カネコ種苗,バイオテクノロジー,〒371-8503 前橋市古市町１−５０−１２,36.373337,139.049957,1376 カネコ種苗,0.09229631336748931
6,1377,150517579776.0,Consumer Defensive,2477.0,1.4451943999999999,61667000000.0,6094000000.0,2020.0,サカタのタネ,バイオテクノロジー,〒224-0041 横浜市都筑区仲町台２−７−１,35.531734,139.59583999999998,1377 サカタのタネ,-0.015592488177873672
7,1379,64588943360.0,Consumer Defensive,4181.0,1.28996,71220000000.0,1531000000.0,2020.0,ホクト,食品,〒381-8533 長野市南堀１３８−１,36.661598,138.244949,1379 ホクト,0.08383482718701966
8,1380,4673583616.0,Consumer Defensive,276.0,2.5331101,5790000000.0,71000000.0,2020.0,秋川牧園,食品,〒753-0303 山口市仁保下郷１０３１７,34.182925743519,131.53770141732,1380 秋川牧園,0.37105134720849564
9,1381,17858402304.0,Consumer Defensive,1313.0,1.1559589,19770000000.0,1973000000.0,2020.0,アクシーズ,食品,〒890-0014 鹿児島市草牟田２−１−８,31.599459000000003,130.540329,1381 アクシーズ,0.40574775674517943
10,1382,789211328.0,Consumer Defensive,44.0,1.7977467,3230000000.0,28000000.0,2020.0,ホーブ,食品,〒071-1544 北海道上川郡東神楽町１４北１,43.694641,142.464691,1382 ホーブ,-0.5741729595334089
11,1383,2830049792.0,Consumer Defensive,267.0,2.9026234,4885000000.0,-3000000.0,2019.0,ベルグアース,食品,〒798-3361 愛媛県宇和島市津島町北灘甲８８−１,33.137798,132.501495,1383 ベルグアース,-0.14068607586667461
12,1384,5853593600.0,Consumer Defensive,229.0,0.65608525,13416000000.0,223000000.0,2020.0,ホクリヨウ,食品,〒003-0012 札幌市白石区中央二条３−６−１５,43.05538055736101,141.40031111273996,1384 ホクリヨウ,0.024351242292413835
